WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,100,1030,7920,8020,2080,2080,2080
3,100,1079,8118,8218,1882,1882,1882
3,100,1128,8118,8218,1882,1882,1882
3,100,1177,8118,8218,1882,1882,1882
3,100,1226,8217,8317,1783,1783,1783
3,100,1275,8217,8317,1783,1783,1783
3,100,1324,8217,8317,1783,1783,1783
3,100,1373,8316,8416,1684,1684,1684
3,100,1422,8316,8416,1684,1684,1684
3,100,1471,8316,8416,1684,1684,1684
3,100,148,4555,4555,5445,5545,4555
3,100,1520,8415,8515,1585,1585,1585
3,100,1569,8415,8515,1585,1585,1585
3,100,1618,8514,8614,1486,1486,1486
3,100,1667,8514,8614,1486,1486,1486
3,100,1716,8613,8713,1387,1387,1387
3,100,1765,8613,8713,1387,1387,1387
3,100,1814,8613,8713,1387,1387,1387
3,100,1863,8812,8812,1188,1288,1288
3,100,1912,8712,8812,1288,1288,1288
3,100,1961,8811,8911,1189,1189,1189
3,100,197,5347,5347,4652,4753,4753
3,100,2010,8811,8911,1189,1189,1189
3,100,2059,8811,8911,1189,1189,1189
3,100,2108,8910,9010,1090,1090,1090
3,100,2157,8910,9010,1090,1090,1090
3,100,2206,8910,9010,1090,1090,1090
3,100,2255,8910,9010,1090,1090,1090
3,100,2304,9009,9109,991,991,991
3,100,2353,9009,9109,991,991,991
3,100,2402,9009,9109,991,991,991
3,100,2451,9009,9109,991,991,991
3,100,246,5742,5842,4258,4258,4258
3,100,2500,9009,9109,991,991,991
3,100,2549,9009,9109,991,991,991
3,100,2598,9009,9109,991,991,991
3,100,2647,9108,9208,892,892,892
3,100,2696,9108,9208,892,892,892
3,100,2745,9208,9208,792,892,892
3,100,2794,9207,9307,793,793,793
3,100,2843,9207,9307,793,793,793
3,100,2892,9207,9307,793,793,793
3,100,2941,9207,9307,793,793,793
3,100,295,5742,5842,4258,4258,4258
3,100,2990,9207,9307,793,793,793
3,100,3039,9207,9307,793,793,793
3,100,3088,9207,9307,793,793,793
3,100,3137,9207,9307,793,793,793
3,100,3186,9207,9307,793,793,793
3,100,3235,9207,9307,793,793,793
3,100,3284,9207,9307,793,793,793
3,100,3333,9207,9307,793,793,793
3,100,3382,9207,9307,793,793,793
3,100,3431,9207,9307,793,793,793
3,100,344,6138,6238,3862,3862,3862
3,100,3480,9207,9307,793,793,793
3,100,3529,9207,9307,793,793,793
3,100,3578,9306,9406,694,694,694
3,100,3627,9306,9406,694,694,694
3,100,3676,9306,9406,694,694,694
3,100,3725,9405,9505,595,595,595
3,100,3774,9405,9505,595,595,595
3,100,3823,9405,9505,595,595,595
3,100,3872,9405,9505,595,595,595
3,100,3921,9405,9505,595,595,595
3,100,393,6435,6535,3565,3565,3565
3,100,3970,9405,9505,595,595,595
3,100,4019,9405,9505,595,595,595
3,100,4068,9504,9604,496,496,496
3,100,4117,9604,9604,395,496,496
3,100,4166,9604,9604,396,496,496
3,100,4215,9604,9604,395,496,496
3,100,4264,9504,9604,496,496,496
3,100,4313,9504,9604,496,496,496
3,100,4362,9504,9604,496,496,496
3,100,4411,9504,9604,496,496,496
3,100,442,6732,6832,3268,3268,3268
3,100,4460,9504,9604,496,496,496
3,100,4509,9504,9604,496,496,496
3,100,4558,9504,9604,496,496,496
3,100,4607,9603,9703,397,397,397
3,100,4656,9603,9703,397,397,397
3,100,4705,9603,9703,397,397,397
3,100,4754,9603,9703,397,397,397
3,100,4803,9603,9703,397,397,397
3,100,4852,9603,9703,397,397,397
3,100,4901,9702,9802,298,298,298
3,100,491,6930,7030,3070,3070,3070
3,100,4950,9901,9901,0,199,199
3,100,540,7029,7129,2971,2971,2971
3,100,589,7128,7228,2872,2872,2872
3,100,638,7326,7426,2674,2674,2674
3,100,687,7326,7426,2674,2674,2674
3,100,736,7524,7624,2476,2476,2476
3,100,785,7524,7624,2476,2476,2476
3,100,834,7623,7723,2377,2377,2377
3,100,883,7722,7822,2278,2278,2278
3,100,932,7920,8020,2080,2080,2080
3,100,981,7920,8020,2080,2080,2080
3,100,99,3960,4060,6040,6040,4060
