WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
0,750,101837,73006,73020,119226,28650,13577
0,750,104645,73004,73020,125840,28650,13577
0,750,107453,73103,73119,129025,30029,13577
0,750,110261,73105,73119,126723,30029,13577
0,750,113069,73184,73218,138924,31572,13577
0,750,115877,73176,73218,136460,31572,13579
0,750,118685,73325,73317,136547,33309,13577
0,750,11981,63728,63516,21470,15102,15102
0,750,121493,73293,73317,164365,33309,13575
0,750,124301,73386,73416,150606,35274,13577
0,750,127109,73368,73416,171060,35274,13575
0,750,129917,73386,73416,167550,35274,13575
0,750,132725,73491,73515,178731,37517,13575
0,750,135533,73479,73515,180041,37517,13577
0,750,138341,73564,73614,166150,40096,13577
0,750,141149,73578,73614,186664,40096,13577
0,750,143957,73592,73614,186000,40096,13577
0,750,146765,73568,73614,183322,40096,13575
0,750,14789,65183,65001,23203,14303,14303
0,750,149573,73568,73614,189622,40096,13575
0,750,152381,73705,73713,213865,43085,13577
0,750,155189,73766,73812,217432,46590,13577
0,750,157997,73705,73713,223589,43085,13577
0,750,160805,73766,73812,218810,46590,13575
0,750,163613,73766,73812,223934,46590,13575
0,750,166421,73885,73911,246987,50749,13575
0,750,169229,73901,73911,227305,50749,13577
0,750,172037,73861,73911,258633,50749,13575
0,750,174845,73845,73911,234211,50749,13577
0,750,17597,66315,66189,24245,13839,13839
0,750,177653,73952,74010,248148,55762,13575
0,750,180461,73934,74010,271862,55762,13575
0,750,183269,73934,74010,264828,55760,13575
0,750,186077,73946,74010,267840,55760,13577
0,750,188885,73944,74010,281068,55760,13577
0,750,191693,73944,74010,292638,55760,13575
0,750,194501,74025,74109,289811,61911,13575
0,750,197309,74053,74109,297285,61911,13575
0,750,200117,74065,74109,306011,61911,13577
0,750,202925,74065,74109,321269,61911,13577
0,750,20405,67059,66981,26333,13645,13645
0,750,205733,74065,74109,326625,61911,13577
0,750,208541,74150,74208,338224,69622,13577
0,750,211349,74150,74208,327066,69622,13575
0,750,214157,74130,74208,348480,69622,13575
0,750,216965,74126,74208,362156,69622,13577
0,750,219773,74126,74208,367712,69622,13575
0,750,222581,74126,74208,379336,69622,13575
0,750,225389,74237,74307,366839,79565,13575
0,750,228197,74237,74307,387563,79565,13575
0,750,231005,74237,74307,386641,79565,13575
0,750,23213,67857,67773,29879,13593,13588
0,750,233813,74237,74307,412745,79565,13575
0,750,236621,74237,74307,419803,79565,13577
0,750,239429,74237,74307,428081,79565,13577
0,750,242237,74336,74406,421764,92856,13577
0,750,245045,74336,74406,423184,92856,13577
0,750,247853,74336,74406,435656,92856,13575
0,750,250661,74425,74505,439045,111505,13575
0,750,253469,74425,74505,465167,111505,13575
0,750,256277,74425,74505,465051,111505,13575
0,750,259085,74425,74505,477747,111505,13575
0,750,26021,68497,68367,30371,13679,13587
0,750,261893,74425,74505,481599,111505,13575
0,750,264701,74516,74604,492516,139530,13575
0,750,267509,74516,74604,503034,139530,13575
0,750,270317,74516,74604,516654,139530,13575
0,750,273125,74516,74604,523614,139530,13575
0,750,275933,74609,74703,536349,186303,13575
0,750,278741,74609,74703,547949,186303,13575
0,750,28829,69017,68961,32847,13897,13585
0,750,31637,69401,69357,36541,14137,13585
0,750,34445,69712,69654,37004,14382,13585
0,750,3557,51630,51240,26542,25166,25166
0,750,37253,70096,70050,40564,14810,13584
0,750,40061,70417,70347,45689,15219,13584
0,750,42869,70613,70545,46921,15555,13579
0,750,45677,70888,70842,50338,16142,13583
0,750,48485,71096,71040,48910,16612,13579
0,750,51293,71276,71238,58322,17148,13581
0,750,54101,71476,71436,59154,17766,13581
0,750,56909,71753,71535,61765,18115,13581
0,750,59717,71733,71733,64273,18885,13581
0,750,62525,71844,71832,70074,19318,13579
0,750,6365,57894,57576,22746,19522,19522
0,750,65333,71961,71931,66545,19783,13579
0,750,68141,72107,72129,73971,20831,13575
0,750,70949,72232,72228,80492,21422,13581
0,750,73757,72307,72327,81503,22067,13579
0,750,749,30986,30878,45288,45334,30878
0,750,76565,72337,72327,83915,22067,13583
0,750,79373,72420,72426,90256,22766,13579
0,750,82181,72503,72525,91113,23529,13577
0,750,84989,72630,72624,98398,24370,13577
0,750,87797,72753,72723,98785,25287,13577
0,750,90605,72739,72723,101939,25285,13579
0,750,9173,61426,61140,21818,16702,16702
0,750,93413,72812,72822,111474,26292,13579
0,750,96221,72929,72921,112311,27411,13577
0,750,99029,73034,73020,110976,28650,13579
