WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,750,101837,480639,481312,123217,32641,27058
1,750,104645,480637,481312,129831,32641,27058
1,750,107453,481395,482070,132719,33723,27058
1,750,110261,481397,482070,130417,33723,27058
1,750,113069,482135,482829,142326,34974,27058
1,750,115877,482127,482829,139862,34974,27058
1,750,118685,482936,483587,139663,36425,27058
1,750,11981,408742,409175,65011,58643,58643
1,750,121493,482904,483587,167481,36425,27058
1,750,124301,483656,484346,153442,38110,27058
1,750,127109,483638,484346,173896,38110,27058
1,750,129917,483656,484346,170386,38110,27058
1,750,132725,484421,485105,181293,40079,27058
1,750,135533,484409,485105,182603,40079,27058
1,750,138341,485154,485864,168444,42390,27058
1,750,141149,485168,485864,188958,42390,27058
1,750,143957,485182,485864,188294,42390,27058
1,750,146765,485158,485864,185616,42390,27058
1,750,14789,419891,420356,59715,50815,50815
1,750,149573,485158,485864,191916,42390,27058
1,750,152381,485955,486623,215899,45119,27058
1,750,155189,486676,487383,219213,48371,27058
1,750,157997,485955,486623,225623,45119,27058
1,750,160805,486676,487383,220591,48371,27058
1,750,163613,486676,487383,225715,48371,27058
1,750,166421,487456,488142,248524,52286,27058
1,750,169229,487472,488142,228842,52286,27058
1,750,172037,487432,488142,260170,52286,27058
1,750,174845,487416,488142,235748,52286,27058
1,750,17597,428802,429326,55293,44887,44887
1,750,177653,488183,488902,249450,57064,27058
1,750,180461,488165,488902,273164,57064,27058
1,750,183269,488165,488902,266130,57062,27058
1,750,186077,488177,488902,269142,57062,27058
1,750,188885,488175,488902,282370,57062,27058
1,750,191693,488175,488902,293940,57062,27058
1,750,194501,488917,489661,290888,62988,27058
1,750,197309,488945,489661,298362,62988,27058
1,750,200117,488957,489661,307088,62988,27058
1,750,202925,488957,489661,322346,62988,27058
1,750,20405,434745,435317,53828,41140,41140
1,750,205733,488957,489661,327702,62988,27058
1,750,208541,489702,490421,339087,70485,27058
1,750,211349,489702,490421,327929,70485,27058
1,750,214157,489682,490421,349343,70485,27058
1,750,216965,489678,490421,363019,70485,27058
1,750,219773,489678,490421,368575,70485,27058
1,750,222581,489678,490421,380199,70485,27058
1,750,225389,490450,491181,367501,80227,27058
1,750,228197,490450,491181,388225,80227,27058
1,750,231005,490450,491181,387303,80227,27058
1,750,23213,440751,441319,53899,37613,37613
1,750,233813,490450,491181,413407,80227,27058
1,750,236621,490450,491181,420465,80227,27058
1,750,239429,490450,491181,428743,80227,27058
1,750,242237,491210,491941,422239,93331,27058
1,750,245045,491210,491941,423659,93331,27058
1,750,247853,491210,491941,436131,93331,27058
1,750,250661,491960,492702,439349,111809,27058
1,750,253469,491960,492702,465471,111809,27058
1,750,256277,491960,492702,465355,111809,27058
1,750,259085,491960,492702,478051,111809,27058
1,750,26021,445304,445826,51842,35150,35150
1,750,261893,491960,492702,481903,111809,27058
1,750,264701,492713,493462,492670,139684,27058
1,750,267509,492713,493462,503188,139684,27058
1,750,270317,492713,493462,516808,139684,27058
1,750,273125,492713,493462,523768,139684,27058
1,750,275933,493467,494223,536378,186332,27058
1,750,278741,493467,494223,547978,186332,27058
1,750,28829,449741,450339,51823,32873,32873
1,750,31637,452740,453350,53886,31482,31482
1,750,34445,455013,455610,53144,30522,30522
1,750,3557,318584,318194,133529,132701,132701
1,750,37253,458016,458625,55124,29370,29370
1,750,40061,460303,460888,59084,28614,28614
1,750,42869,461810,462397,59550,28184,28184
1,750,45677,464052,464663,61836,27640,27640
1,750,48485,465573,466173,59665,27367,27367
1,750,51293,467066,467685,68344,27170,27170
1,750,54101,468580,469197,68454,27066,27066
1,750,56909,470171,469953,70354,27058,27058
1,750,59717,470808,471465,72511,27123,27060
1,750,62525,471576,472222,77964,27208,27058
1,750,6365,365134,364816,95629,92922,92922
1,750,65333,472351,472979,74090,27328,27058
1,750,68141,473813,474493,80836,27696,27058
1,750,70949,474596,475250,87022,27952,27058
1,750,73757,475329,476007,87701,28265,27058
1,750,749,172099,171991,274593,275250,171991
1,750,76565,475359,476007,90113,28265,27058
1,750,79373,476100,476764,96127,28637,27058
1,750,82181,476841,477522,96660,29076,27058
1,750,84989,477627,478280,103625,29597,27058
1,750,87797,478409,479037,103696,30198,27058
1,750,90605,478395,479037,106850,30196,27058
1,750,9173,391646,391360,76507,71884,71884
1,750,93413,479126,479795,116074,30892,27058
1,750,96221,479902,480554,116604,31704,27058
1,750,99029,480667,481312,114967,32641,27058
