WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,50,1009,17145,17615,2190,1084,1084
1,50,1021,17137,17615,2062,1084,1084
1,50,1033,17145,17615,2048,1084,1084
1,50,1045,17616,18098,2046,1066,1066
1,50,1057,17620,18098,2046,1066,1066
1,50,1069,17616,18098,1966,1066,1066
1,50,1081,17620,18098,2118,1066,1066
1,50,109,8516,8925,7290,7250,7250
1,50,1093,17616,18098,2036,1066,1066
1,50,1105,17616,18098,2188,1066,1066
1,50,1117,17620,18098,2188,1066,1066
1,50,1129,17616,18098,2110,1066,1066
1,50,1141,17616,18098,2274,1066,1066
1,50,1153,17620,18098,2194,1066,1066
1,50,1165,17620,18098,2194,1066,1066
1,50,1177,17620,18098,2446,1066,1066
1,50,1189,17620,18098,2538,1066,1066
1,50,1201,18099,18583,2348,1290,1066
1,50,121,8524,8925,7294,7250,7250
1,50,1213,18099,18583,2442,1290,1066
1,50,1225,18582,19070,2401,2401,1066
1,50,1237,18582,19070,2401,2401,1066
1,50,133,9373,9790,6490,6442,6442
1,50,145,9817,10225,6083,6043,6043
1,50,157,10698,10664,5317,5651,5651
1,50,169,10262,10664,5729,5649,5649
1,50,181,10703,11108,5350,5264,5264
1,50,193,11575,11557,4640,4897,4897
1,50,205,12023,12005,4229,4518,4518
1,50,217,12020,12458,4259,4147,4147
1,50,229,12034,12458,4263,4147,4147
1,50,241,12936,12914,3508,3790,3790
1,50,253,12929,13373,3577,3445,3445
1,50,265,12925,13373,3585,3445,3445
1,50,277,12941,13373,3613,3443,3443
1,50,289,12943,13373,3629,3443,3443
1,50,301,12947,13373,3631,3441,3441
1,50,313,13850,13834,2955,3105,3105
1,50,325,13850,13834,2977,3107,3107
1,50,337,13850,13834,3029,3105,3105
1,50,349,13858,13834,2939,3107,3107
1,50,361,13857,14298,2982,2778,2778
1,50,373,13855,14298,3018,2778,2778
1,50,385,13861,14298,2964,2778,2778
1,50,397,14777,14765,2337,2464,2464
1,50,409,14775,14765,2329,2464,2464
1,50,421,14777,14765,2345,2464,2464
1,50,433,14787,14765,2361,2466,2466
1,50,445,14777,14765,2445,2464,2464
1,50,457,15242,15234,2094,2166,2166
1,50,469,15240,15234,2107,2166,2166
1,50,481,15258,15234,2072,2166,2166
1,50,49,6852,6848,8934,9358,6848
1,50,493,14772,15234,2482,2166,2166
1,50,505,14776,15234,2438,2166,2166
1,50,517,14776,15234,2486,2166,2166
1,50,529,14786,15234,2492,2166,2166
1,50,541,15247,15706,2203,1885,1885
1,50,553,15243,15706,2185,1885,1885
1,50,565,15243,15706,2225,1885,1885
1,50,577,15243,15706,2183,1885,1885
1,50,589,15255,15706,2197,1885,1885
1,50,601,15255,15706,2221,1885,1885
1,50,61,7252,7250,8502,8925,7250
1,50,613,15241,15706,2225,1887,1887
1,50,625,15241,15706,2225,1887,1887
1,50,637,15711,16180,2019,1627,1627
1,50,649,15709,16180,1977,1629,1629
1,50,661,15711,16180,1961,1629,1629
1,50,673,15709,16180,1979,1627,1627
1,50,685,15719,16180,1997,1629,1629
1,50,697,15719,16180,2017,1629,1629
1,50,709,15719,16180,2017,1629,1629
1,50,721,15723,16180,2057,1629,1629
1,50,73,8090,8076,7665,8076,8076
1,50,733,15723,16180,2113,1629,1629
1,50,745,15723,16180,2121,1629,1629
1,50,757,15723,16180,2163,1629,1629
1,50,769,16187,16656,1943,1399,1399
1,50,781,16187,16656,1943,1399,1399
1,50,793,16187,16656,1943,1399,1399
1,50,805,16185,16656,1887,1401,1401
1,50,817,16191,16656,2101,1399,1399
1,50,829,16191,16656,2101,1399,1399
1,50,841,16199,16656,2101,1399,1399
1,50,85,8097,8501,7679,7663,7663
1,50,853,16209,16656,2057,1399,1399
1,50,865,16209,16656,2057,1399,1399
1,50,877,16661,17134,1889,1209,1209
1,50,889,16661,17134,1931,1209,1209
1,50,901,16667,17134,1951,1209,1209
1,50,913,16667,17134,1951,1209,1209
1,50,925,16667,17134,1995,1209,1209
1,50,937,16663,17134,1929,1211,1211
1,50,949,17137,17615,1768,1084,1084
1,50,961,17137,17615,1974,1084,1084
1,50,97,8527,8503,7258,7665,7665
1,50,973,17137,17615,1880,1084,1084
1,50,985,17137,17615,1814,1084,1084
1,50,997,17145,17615,2124,1084,1084
