WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
0,500,100259,49237,49307,165781,35423,9052
0,500,101506,49237,49307,166449,35423,9050
0,500,102753,49237,49307,168381,35423,9050
0,500,104000,49326,49406,174006,41274,9050
0,500,10475,43823,43763,16187,9349,9349
0,500,105247,49336,49406,179634,41274,9052
0,500,106494,49326,49406,195490,41274,9050
0,500,107741,49336,49406,187098,41274,9050
0,500,108988,49417,49505,201301,49505,9050
0,500,110235,49425,49505,189259,49505,9050
0,500,111482,49425,49505,200739,49505,9050
0,500,112729,49425,49505,205591,49505,9050
0,500,113976,49425,49505,200423,49505,9050
0,500,115223,49516,49604,203708,61904,9050
0,500,116470,49516,49604,216658,61904,9050
0,500,11722,44108,44060,15248,9244,9244
0,500,117717,49516,49604,221878,61904,9050
0,500,118964,49516,49604,221880,61904,9050
0,500,120211,49516,49604,228290,61904,9050
0,500,121458,49510,49604,234800,61904,9050
0,500,122705,49609,49703,239485,82637,9050
0,500,123952,49609,49703,244345,82637,9050
0,500,12969,44613,44555,16079,9117,9117
0,500,14216,44971,44951,17357,9071,9071
0,500,15463,45207,45149,18205,9061,9060
0,500,16710,45549,45545,19505,9113,9060
0,500,1746,31683,31495,19917,19291,19291
0,500,17957,45846,45842,21890,9206,9058
0,500,19204,45981,45941,21307,9247,9056
0,500,20451,46232,46238,24262,9430,9058
0,500,21698,46474,46436,25918,9590,9058
0,500,22945,46565,46535,25905,9687,9058
0,500,24192,46745,46733,29623,9915,9056
0,500,25439,46810,46832,28800,10052,9054
0,500,26686,47006,47030,28704,10370,9052
0,500,27933,47028,47030,32154,10370,9054
0,500,29180,47204,47228,31722,10760,9056
0,500,2993,36328,36140,16238,14970,14970
0,500,30427,47325,47327,33867,10993,9052
0,500,31674,47402,47426,37704,11246,9052
0,500,32921,47487,47525,36345,11529,9054
0,500,34168,47714,47624,39532,11844,9052
0,500,35415,47596,47624,42076,11844,9052
0,500,36662,47713,47723,41467,12197,9054
0,500,37909,47808,47822,41644,12590,9054
0,500,39156,47899,47921,42749,13031,9052
0,500,40403,47883,47921,49433,13029,9050
0,500,41650,47931,47921,43611,13031,9054
0,500,4240,38620,38516,14762,12916,12916
0,500,42897,48084,48020,48880,13522,9052
0,500,44144,48073,48119,52737,14081,9054
0,500,45391,48073,48119,55737,14081,9054
0,500,46638,48174,48218,56492,14710,9054
0,500,47885,48279,48317,55229,15427,9054
0,500,49132,48269,48317,64201,15427,9052
0,500,499,20557,20483,30297,30319,20483
0,500,50379,48289,48317,59935,15427,9054
0,500,51626,48271,48317,60745,15427,9052
0,500,52873,48366,48416,67532,16244,9052
0,500,54120,48447,48515,64437,17185,9052
0,500,5487,40438,40298,13908,11478,11478
0,500,55367,48499,48515,71499,17185,9052
0,500,56614,48499,48515,72719,17185,9050
0,500,57861,48548,48614,75248,18274,9050
0,500,59108,48592,48614,74030,18274,9050
0,500,60355,48655,48713,84491,19547,9050
0,500,61602,48689,48713,83989,19547,9052
0,500,62849,48669,48713,73399,19547,9054
0,500,64096,48663,48713,85863,19547,9050
0,500,65343,48732,48812,84228,21048,9052
0,500,66590,48750,48812,90290,21048,9052
0,500,6734,41322,41288,14768,10766,10766
0,500,67837,48740,48812,82884,21048,9050
0,500,69084,48762,48812,100554,21048,9050
0,500,70331,48740,48812,94894,21048,9052
0,500,71578,48859,48911,96435,22841,9050
0,500,72825,48837,48911,101427,22841,9052
0,500,74072,48853,48911,110789,22841,9054
0,500,75319,48849,48911,115263,22841,9050
0,500,76566,48940,49010,105652,25010,9052
0,500,77813,48982,49010,108836,25010,9052
0,500,79060,48968,49010,107836,25012,9050
0,500,7981,42386,42278,14426,10108,10108
0,500,80307,48938,49010,116994,25012,9050
0,500,81554,48982,49010,113124,25010,9050
0,500,82801,49045,49109,124255,27689,9050
0,500,84048,49035,49109,117559,27689,9050
0,500,85295,49041,49109,129927,27689,9050
0,500,86542,49134,49208,140460,31060,9050
0,500,87789,49122,49208,135254,31060,9052
0,500,89036,49132,49208,139934,31060,9050
0,500,90283,49138,49208,139278,31060,9050
0,500,91530,49126,49208,138520,31060,9050
0,500,9228,43216,43070,14418,9654,9654
0,500,92777,49138,49208,149806,31060,9052
0,500,94024,49138,49208,150358,31060,9052
0,500,95271,49138,49208,153906,31060,9052
0,500,96518,49237,49307,152787,35423,9050
0,500,97765,49237,49307,158273,35423,9050
0,500,99012,49227,49307,160351,35423,9050
