WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,50,1009,2041,2120,1652,546,260
2,50,1021,2033,2120,1524,546,260
2,50,1033,2041,2120,1510,546,260
2,50,1045,2121,2212,1726,746,260
2,50,1057,2125,2212,1726,746,260
2,50,1069,2121,2212,1646,746,260
2,50,1081,2125,2212,1798,746,260
2,50,109,721,756,608,568,568
2,50,1093,2121,2212,1716,746,260
2,50,1105,2121,2212,1868,746,260
2,50,1117,2125,2212,1868,746,260
2,50,1129,2121,2212,1790,746,260
2,50,1141,2121,2212,1954,746,260
2,50,1153,2125,2212,1874,746,260
2,50,1165,2125,2212,1874,746,260
2,50,1177,2125,2212,2126,746,260
2,50,1189,2125,2212,2218,746,260
2,50,1201,2213,2306,2214,1156,260
2,50,121,729,756,612,568,568
2,50,1213,2213,2306,2308,1156,260
2,50,1225,2305,2402,2402,2402,260
2,50,1237,2305,2402,2402,2402,260
2,50,133,827,866,538,490,490
2,50,145,893,922,492,452,452
2,50,157,1014,980,439,418,418
2,50,169,959,980,496,416,416
2,50,181,1019,1042,472,386,386
2,50,193,1126,1108,460,370,370
2,50,205,1190,1172,392,338,338
2,50,217,1187,1240,422,310,310
2,50,229,1201,1240,426,310,310
2,50,241,1332,1310,343,292,292
2,50,253,1325,1382,412,280,280
2,50,265,1321,1382,420,280,280
2,50,277,1337,1382,448,278,278
2,50,289,1339,1382,464,278,278
2,50,301,1343,1382,466,276,276
2,50,313,1472,1456,439,268,268
2,50,325,1472,1456,461,270,270
2,50,337,1472,1456,513,268,268
2,50,349,1480,1456,423,270,270
2,50,361,1479,1532,466,262,262
2,50,373,1477,1532,502,262,262
2,50,385,1483,1532,448,262,262
2,50,397,1622,1610,441,262,262
2,50,409,1620,1610,433,262,262
2,50,421,1622,1610,449,262,262
2,50,433,1632,1610,465,264,262
2,50,445,1622,1610,549,262,262
2,50,457,1698,1690,495,270,262
2,50,469,1696,1690,508,270,262
2,50,481,1714,1690,473,270,260
2,50,49,536,532,765,812,532
2,50,493,1617,1690,586,270,262
2,50,505,1621,1690,542,270,262
2,50,517,1621,1690,590,270,262
2,50,529,1631,1690,596,270,262
2,50,541,1703,1772,604,286,262
2,50,553,1699,1772,586,286,260
2,50,565,1699,1772,626,286,262
2,50,577,1699,1772,584,286,260
2,50,589,1711,1772,598,286,260
2,50,601,1711,1772,622,286,260
2,50,61,570,568,707,756,568
2,50,613,1697,1772,626,288,262
2,50,625,1697,1772,626,288,262
2,50,637,1777,1856,706,314,260
2,50,649,1775,1856,664,316,260
2,50,661,1777,1856,648,316,262
2,50,673,1775,1856,666,314,260
2,50,685,1785,1856,684,316,260
2,50,697,1785,1856,704,316,260
2,50,709,1785,1856,704,316,262
2,50,721,1789,1856,744,316,262
2,50,73,668,654,614,654,654
2,50,733,1789,1856,800,316,262
2,50,745,1789,1856,808,316,262
2,50,757,1789,1856,850,316,260
2,50,769,1863,1942,904,360,262
2,50,781,1863,1942,904,360,260
2,50,793,1863,1942,904,360,262
2,50,805,1861,1942,848,362,260
2,50,817,1867,1942,1062,360,262
2,50,829,1867,1942,1062,360,260
2,50,841,1875,1942,1062,360,262
2,50,85,675,706,628,612,612
2,50,853,1885,1942,1018,360,260
2,50,865,1885,1942,1018,360,260
2,50,877,1947,2030,1110,430,260
2,50,889,1947,2030,1152,430,260
2,50,901,1953,2030,1172,430,260
2,50,913,1953,2030,1172,430,260
2,50,925,1953,2030,1216,430,260
2,50,937,1949,2030,1150,432,260
2,50,949,2033,2120,1230,546,260
2,50,961,2033,2120,1436,546,260
2,50,97,732,708,576,614,614
2,50,973,2033,2120,1342,546,260
2,50,985,2033,2120,1276,546,260
2,50,997,2041,2120,1586,546,260
