WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,350,10109,181353,181241,21046,15282,15282
1,350,10719,182078,182590,22907,14591,14591
1,350,11329,183374,183940,21400,13936,13936
1,350,11939,184033,184616,21695,13625,13625
1,350,12549,184691,185292,22938,13324,13324
1,350,13159,185377,185968,22842,13040,13040
1,350,13769,186079,186645,22945,12765,12765
1,350,14379,186774,187322,22165,12515,12515
1,350,14989,187383,187999,22908,12278,12278
1,350,15599,188762,188676,22121,12061,12061
1,350,1569,127970,127770,55710,55653,55653
1,350,16209,188749,189354,26854,11864,11864
1,350,16819,189413,190032,26382,11694,11694
1,350,17429,189461,190032,25404,11692,11692
1,350,18039,190079,190711,26928,11552,11552
1,350,18649,190778,191390,29939,11441,11441
1,350,19259,190764,191390,27125,11441,11441
1,350,19869,191467,192069,27249,11365,11365
1,350,20479,191529,192069,27933,11365,11365
1,350,21089,192126,192748,30216,11330,11330
1,350,21699,192142,192748,31396,11330,11330
1,350,2179,140916,140744,44795,44523,44523
1,350,22309,192142,192748,32516,11330,11330
1,350,22919,192819,193428,32023,11343,11330
1,350,23529,193493,194108,33342,11410,11330
1,350,24139,193477,194108,32622,11414,11330
1,350,24749,193479,194108,33188,11412,11330
1,350,25359,194141,194788,31667,11547,11330
1,350,25969,194177,194788,32933,11547,11330
1,350,26579,194821,195468,33318,11760,11330
1,350,27189,194837,195468,35084,11758,11330
1,350,27799,194837,195468,35878,11758,11330
1,350,2789,148798,149262,38885,37559,37559
1,350,28409,194847,195468,37004,11760,11330
1,350,29019,195525,196149,38041,12073,11330
1,350,29629,195529,196149,42367,12071,11330
1,350,30239,195513,196149,39527,12071,11330
1,350,30849,195525,196149,40877,12071,11330
1,350,31459,196194,196830,41237,12505,11330
1,350,32069,196194,196830,43285,12505,11330
1,350,32679,196853,197512,44578,13086,11330
1,350,33289,196849,197512,44090,13086,11330
1,350,33899,196861,197512,47276,13086,11330
1,350,3399,155332,155858,33945,32393,32393
1,350,34509,197555,198194,44396,13864,11330
1,350,349,69626,69578,111860,112441,69578
1,350,35119,197555,198194,49866,13864,11330
1,350,35729,197541,198194,55976,13864,11330
1,350,36339,197559,198194,53386,13866,11330
1,350,36949,197553,198194,51752,13862,11330
1,350,37559,197553,198194,52836,13862,11330
1,350,38169,198215,198876,61796,14898,11330
1,350,38779,198265,198876,60154,14898,11330
1,350,39389,198225,198876,58264,14898,11330
1,350,39999,198899,199558,57857,16285,11330
1,350,4009,159300,159833,31474,29392,29392
1,350,40609,198917,199558,58997,16285,11330
1,350,41219,198907,199558,61023,16285,11330
1,350,41829,198907,199558,63215,16285,11330
1,350,42439,198901,199558,61133,16285,11330
1,350,43049,198905,199558,59995,16285,11330
1,350,43659,198905,199558,62457,16285,11330
1,350,44269,198905,199558,65777,16285,11330
1,350,44879,199579,200241,76005,18169,11330
1,350,45489,200263,200241,74256,18169,11330
1,350,46099,199579,200241,77439,18169,11330
1,350,4619,164018,163820,28541,26463,26463
1,350,46709,199587,200241,77341,18169,11330
1,350,47319,199599,200241,72855,18169,11330
1,350,47929,199587,200241,79865,18169,11330
1,350,48539,200260,200924,82047,20799,11330
1,350,49149,200260,200924,76677,20799,11330
1,350,49759,200254,200924,78667,20799,11330
1,350,50369,200254,200924,80543,20799,11330
1,350,50979,200254,200924,81161,20799,11330
1,350,51589,200254,200924,82167,20799,11330
1,350,52199,200935,201607,90165,24609,11330
1,350,5229,166647,167153,27127,24101,24101
1,350,52809,200929,201607,88343,24609,11330
1,350,53419,200943,201607,90047,24609,11330
1,350,54029,200935,201607,98495,24609,11330
1,350,54639,200935,201607,100817,24609,11330
1,350,55249,200935,201607,102605,24611,11330
1,350,55859,200935,201607,104375,24611,11330
1,350,56469,200935,201607,104897,24609,11330
1,350,57079,201618,202290,108398,30484,11330
1,350,57689,201618,202290,112864,30484,11330
1,350,58299,201612,202290,104768,30484,11330
1,350,5839,169955,169825,24880,22268,22268
1,350,58909,202295,202974,109486,40466,11330
1,350,59519,202291,202974,117994,40466,11330
1,350,60129,202295,202974,117318,40466,11330
1,350,60739,202295,202974,118674,40466,11330
1,350,6449,171956,172502,24315,20495,20495
1,350,7059,174614,174514,22847,19208,19208
1,350,7669,175996,176529,22392,17968,17968
1,350,8279,177314,177873,22457,17167,17167
1,350,8889,178659,179219,22650,16394,16394
1,350,9499,180032,180566,22154,15646,15646
1,350,959,109460,109278,72230,72507,72507
