WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,1000,100899,927603,929332,104874,27116,16994
2,1000,105894,933296,933190,110547,28610,16994
2,1000,10989,642295,643402,47738,42494,42494
2,1000,110889,933305,935122,118202,29432,16994
2,1000,115884,935277,937056,127550,30312,16994
2,1000,120879,939087,940930,132678,32270,16994
2,1000,125874,941051,942870,137202,33360,16994
2,1000,130869,941025,942870,147720,33360,16994
2,1000,135864,944929,946756,158076,35796,16994
2,1000,140859,946833,948702,156638,37170,16994
2,1000,145854,946867,948702,160514,37170,16994
2,1000,150849,948783,950650,161100,38654,16994
2,1000,155844,950751,952600,182904,40272,16994
2,1000,15984,714571,715870,36872,28408,28408
2,1000,160839,952707,954552,182000,42036,16994
2,1000,165834,952719,954552,187596,42036,16994
2,1000,170829,954639,956506,199736,43966,16994
2,1000,175824,954651,956506,190868,43966,16994
2,1000,180819,956581,958462,220410,46086,16994
2,1000,185814,958591,960420,229886,48422,16994
2,1000,190809,958529,960420,215106,48420,16994
2,1000,195804,960477,962380,232506,51016,16994
2,1000,200799,960501,962380,237474,51016,16994
2,1000,205794,962453,964342,251110,53902,16994
2,1000,20979,755727,757030,34994,22762,22762
2,1000,210789,960497,962380,270678,51016,16994
2,1000,215784,964423,966306,268864,57132,16994
2,1000,220779,964427,966306,271844,57132,16994
2,1000,225774,966357,968272,285376,60776,16994
2,1000,230769,966371,968272,310184,60776,16994
2,1000,235764,966361,968272,283828,60776,16994
2,1000,240759,968333,970240,289860,64910,16994
2,1000,245754,970300,970240,329401,64910,16994
2,1000,250749,968331,970240,326380,64910,16994
2,1000,255744,970291,972210,328286,69642,16994
2,1000,25974,790761,792210,34534,19332,19332
2,1000,260739,970309,972210,342484,69642,16994
2,1000,265734,970303,972210,354550,69642,16994
2,1000,270729,972261,974182,368188,75106,16994
2,1000,275724,972271,974182,371696,75106,16994
2,1000,280719,974243,976156,370026,81492,16994
2,1000,285714,972271,974182,418762,75108,16994
2,1000,290709,974255,976156,398806,81492,16994
2,1000,295704,974249,976156,391200,81492,16994
2,1000,300699,976197,978132,433744,89042,16994
2,1000,305694,976197,978132,411100,89044,16994
2,1000,30969,815861,817312,37242,17754,17754
2,1000,310689,976193,978132,459746,89042,16994
2,1000,315684,976199,978132,455002,89042,16994
2,1000,320679,976181,978132,467786,89042,16994
2,1000,325674,976217,978132,495490,89042,16994
2,1000,330669,978175,980110,476948,98110,16994
2,1000,335664,978159,980110,492778,98110,16994
2,1000,340659,978187,980110,522186,98112,16994
2,1000,345654,978203,980110,516906,98110,16994
2,1000,350649,978203,980110,527978,98110,16994
2,1000,355644,980141,982090,538032,109202,16994
2,1000,35964,833941,835482,42362,17130,17130
2,1000,360639,980181,982090,567492,109202,16994
2,1000,365634,980165,982090,549624,109202,16994
2,1000,370629,980141,982090,549536,109202,16994
2,1000,375624,982121,984072,583904,123074,16994
2,1000,380619,982119,984072,608150,123074,16994
2,1000,385614,982131,984072,600438,123072,16994
2,1000,390609,982115,984072,621888,123072,16994
2,1000,395604,982121,984072,634694,123072,16994
2,1000,400599,984101,986056,673164,140914,16994
2,1000,405594,984113,986056,688280,140914,16994
2,1000,40959,846775,848320,43962,16998,16998
2,1000,410589,984113,986056,705630,140914,16994
2,1000,415584,984101,986056,705036,140914,16994
2,1000,420579,984113,986056,694020,140914,16994
2,1000,425574,986069,988042,690990,164710,16994
2,1000,430569,986075,988042,738598,164710,16994
2,1000,435564,986075,988042,750832,164710,16994
2,1000,440559,986085,988042,796110,164710,16994
2,1000,445554,986069,988042,814810,164710,16994
2,1000,450549,986085,988042,806370,164710,16994
2,1000,455544,986067,988042,830344,164710,16994
2,1000,45954,861493,863112,46982,17216,17000
2,1000,460539,988053,990030,835924,198030,16994
2,1000,465534,988049,990030,875640,198030,16994
2,1000,470529,988061,990030,889806,198030,16994
2,1000,475524,988053,990030,906194,198030,16994
2,1000,480519,990041,992020,913722,248020,16994
2,1000,485514,990041,992020,935946,248020,16994
2,1000,490509,992025,994012,941638,331346,16994
2,1000,495504,992025,994012,972326,331346,16994
2,1000,50949,872645,874290,53154,17690,16994
2,1000,55944,880073,881782,57130,18192,16998
2,1000,5994,509171,510082,86376,83664,83664
2,1000,60939,887605,889306,60770,18864,16996
2,1000,65934,893293,894970,65606,19502,16996
2,1000,70929,902737,904450,73898,20870,16994
2,1000,75924,908401,910162,74118,21910,16994
2,1000,80919,910335,912070,84302,22300,16994
2,1000,85914,916009,917806,88368,23624,16996
2,1000,90909,919859,921640,94162,24648,16994
2,1000,95904,923747,925482,107120,25806,16994
2,1000,999,167752,167586,349963,350910,167586
