WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,500,100259,242101,243056,165130,34772,6552
2,500,101506,242101,243056,165798,34772,6550
2,500,102753,242101,243056,167730,34772,6550
2,500,104000,243075,244042,173442,40710,6550
2,500,10475,190319,191032,13856,7018,7018
2,500,105247,243085,244042,179070,40710,6552
2,500,106494,243075,244042,194926,40710,6550
2,500,107741,243085,244042,186534,40710,6550
2,500,108988,244053,245030,200826,49030,6550
2,500,110235,244061,245030,188784,49030,6550
2,500,111482,244061,245030,200264,49030,6550
2,500,112729,244061,245030,205116,49030,6550
2,500,113976,244061,245030,199948,49030,6550
2,500,115223,245041,246020,203324,61520,6550
2,500,116470,245041,246020,216274,61520,6550
2,500,11722,192929,193660,12848,6844,6844
2,500,117717,245041,246020,221494,61520,6550
2,500,118964,245041,246020,221496,61520,6550
2,500,120211,245041,246020,227906,61520,6550
2,500,121458,245035,246020,234416,61520,6550
2,500,122705,246025,247012,239194,82346,6550
2,500,123952,246025,247012,244054,82346,6550
2,500,12969,197349,198080,13604,6642,6642
2,500,14216,200875,201652,14858,6572,6572
2,500,15463,202707,203450,15706,6562,6560
2,500,16710,206265,207070,17030,6638,6560
2,500,1746,97827,98164,36186,35560,35560
2,500,17957,208995,209806,19454,6770,6558
2,500,19204,209945,210722,18888,6828,6556
2,500,20451,212653,213482,21906,7074,6558
2,500,21698,214543,215332,23614,7286,6558
2,500,22945,215461,216260,23630,7412,6558
2,500,24192,217301,218122,27412,7704,6556
2,500,25439,218199,219056,26624,7876,6554
2,500,26686,220067,220930,26604,8270,6552
2,500,27933,220089,220930,30054,8270,6554
2,500,29180,221945,222812,29706,8744,6556
2,500,2993,129309,129740,21838,20570,20570
2,500,30427,222909,223756,31896,9022,6552
2,500,31674,223831,224702,35780,9322,6552
2,500,32921,224763,225650,34470,9654,6554
2,500,34168,226690,226600,37761,10020,6552
2,500,35415,225721,226600,40252,10020,6552
2,500,36662,226689,227552,39696,10426,6554
2,500,37909,227637,228506,39928,10874,6554
2,500,39156,228583,229462,41090,11372,6552
2,500,40403,228567,229462,47774,11370,6550
2,500,41650,228615,229462,41952,11372,6554
2,500,4240,147009,147572,16618,14772,14772
2,500,42897,229625,230420,47280,11922,6552
2,500,44144,230473,231380,51198,12542,6554
2,500,45391,230473,231380,54198,12542,6554
2,500,46638,231435,232342,55016,13234,6554
2,500,47885,232403,233306,53818,14016,6554
2,500,49132,232393,233306,62790,14016,6552
2,500,499,40258,40184,90297,90820,40184
2,500,50379,232413,233306,58524,14016,6554
2,500,51626,232395,233306,59334,14016,6552
2,500,52873,233355,234272,66188,14900,6552
2,500,54120,234303,235240,63162,15910,6552
2,500,5487,161139,161702,13712,11282,11282
2,500,55367,234355,235240,70224,15910,6552
2,500,56614,234355,235240,71444,15910,6550
2,500,57861,235273,236210,74044,17070,6550
2,500,59108,235317,236210,72826,17070,6550
2,500,60355,236251,237182,83360,18416,6550
2,500,61602,236285,237182,82858,18416,6552
2,500,62849,236265,237182,72268,18416,6554
2,500,64096,236259,237182,84732,18416,6550
2,500,65343,237201,238156,83172,19992,6552
2,500,66590,237219,238156,89234,19992,6552
2,500,6734,169143,169832,13712,9710,9710
2,500,67837,237209,238156,81828,19992,6550
2,500,69084,237231,238156,99498,19992,6550
2,500,70331,237209,238156,93838,19992,6552
2,500,71578,238203,239132,95456,21862,6550
2,500,72825,238181,239132,100448,21862,6552
2,500,74072,238197,239132,109810,21862,6554
2,500,75319,238193,239132,114284,21862,6550
2,500,76566,239161,240110,104752,24110,6552
2,500,77813,239203,240110,107936,24110,6552
2,500,79060,239189,240110,106936,24112,6550
2,500,7981,177527,178162,12710,8392,8392
2,500,80307,239159,240110,116094,24112,6550
2,500,81554,239203,240110,112224,24110,6550
2,500,82801,240145,241090,123436,26870,6550
2,500,84048,240135,241090,116740,26870,6550
2,500,85295,240141,241090,129108,26870,6550
2,500,86542,241115,242072,139724,30324,6550
2,500,87789,241103,242072,134518,30324,6552
2,500,89036,241113,242072,139198,30324,6550
2,500,90283,241119,242072,138542,30324,6550
2,500,91530,241107,242072,137784,30324,6550
2,500,9228,185116,184970,12279,7554,7554
2,500,92777,241119,242072,149070,30324,6552
2,500,94024,241119,242072,149622,30324,6552
2,500,95271,241119,242072,153170,30324,6552
2,500,96518,242101,243056,152136,34772,6550
2,500,97765,242101,243056,157622,34772,6550
2,500,99012,242091,243056,159700,34772,6550
