WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,350,10109,99372,99260,10213,4064,4010
2,350,10719,100053,100522,12458,4142,4008
2,350,11329,101265,101792,11716,4252,4006
2,350,11939,101885,102430,12392,4322,4006
2,350,12549,102505,103070,14014,4400,4002
2,350,13159,103155,103712,14296,4494,4004
2,350,13769,103823,104356,14776,4596,4006
2,350,14379,104485,105002,14370,4720,4006
2,350,14989,105063,105650,15486,4856,4008
2,350,15599,106386,106300,15439,5010,4004
2,350,1569,55072,54872,14369,13968,13968
2,350,16209,106373,106952,20172,5182,4004
2,350,16819,107011,107606,20066,5378,4006
2,350,17429,107059,107606,19088,5376,4004
2,350,18039,107653,108262,20976,5600,4004
2,350,18649,108329,108920,24348,5850,4002
2,350,19259,108315,108920,21534,5850,4004
2,350,19869,108997,109580,22016,6132,4002
2,350,20479,109059,109580,22700,6132,4002
2,350,21089,109637,110242,25338,6452,4004
2,350,21699,109653,110242,26518,6452,4002
2,350,2179,64784,64612,10559,9922,9922
2,350,22309,109653,110242,27638,6452,4002
2,350,22919,110313,110906,27496,6816,4002
2,350,23529,110971,111572,29162,7230,4002
2,350,24139,110955,111572,28442,7234,4002
2,350,24749,110957,111572,29008,7232,4002
2,350,25359,111605,112240,27830,7710,4002
2,350,25969,111641,112240,29096,7710,4006
2,350,26579,112273,112910,29820,8262,4002
2,350,27189,112289,112910,31586,8260,4002
2,350,27799,112289,112910,32380,8260,4004
2,350,2789,71033,71372,9098,7772,7772
2,350,28409,112299,112910,33506,8262,4002
2,350,29019,112967,113582,34876,8908,4004
2,350,29629,112971,113582,39202,8906,4004
2,350,30239,112955,113582,36362,8906,4004
2,350,30849,112967,113582,37712,8906,4004
2,350,31459,113627,114256,38400,9668,4004
2,350,32069,113627,114256,40448,9668,4002
2,350,32679,114279,114932,42062,10570,4002
2,350,33289,114275,114932,41574,10570,4002
2,350,33899,114287,114932,44760,10570,4002
2,350,3399,76385,76802,7954,6402,6402
2,350,34509,114975,115610,42194,11662,4002
2,350,349,20044,19996,43887,44252,19996
2,350,35119,114975,115610,47664,11662,4002
2,350,35729,114961,115610,53774,11662,4002
2,350,36339,114979,115610,51184,11664,4002
2,350,36949,114973,115610,49550,11660,4002
2,350,37559,114973,115610,50634,11660,4002
2,350,38169,115631,116290,59900,13002,4002
2,350,38779,115681,116290,58258,13002,4002
2,350,39389,115641,116290,56368,13002,4002
2,350,39999,116313,116972,56258,14686,4002
2,350,4009,79723,80156,7792,5710,5710
2,350,40609,116331,116972,57398,14686,4002
2,350,41219,116321,116972,59424,14686,4002
2,350,41829,116321,116972,61616,14686,4002
2,350,42439,116315,116972,59534,14686,4002
2,350,43049,116319,116972,58396,14686,4002
2,350,43659,116319,116972,60858,14686,4002
2,350,44269,116319,116972,64178,14686,4002
2,350,44879,116993,117656,74692,16856,4002
2,350,45489,117678,117656,73217,16856,4002
2,350,46099,116993,117656,76126,16856,4002
2,350,4619,83780,83582,7575,5108,5108
2,350,46709,117001,117656,76028,16856,4002
2,350,47319,117013,117656,71542,16856,4002
2,350,47929,117001,117656,78552,16856,4002
2,350,48539,117675,118342,81008,19760,4002
2,350,49149,117675,118342,75638,19760,4002
2,350,49759,117669,118342,77628,19760,4002
2,350,50369,117669,118342,79504,19760,4002
2,350,50979,117669,118342,80122,19760,4002
2,350,51589,117669,118342,81128,19760,4002
2,350,52199,118353,119030,89386,23830,4002
2,350,5229,86067,86492,7722,4696,4696
2,350,52809,118347,119030,87564,23830,4002
2,350,53419,118361,119030,89268,23830,4002
2,350,54029,118353,119030,97716,23830,4002
2,350,54639,118353,119030,100038,23830,4002
2,350,55249,118353,119030,101826,23832,4002
2,350,55859,118353,119030,103596,23832,4002
2,350,56469,118353,119030,104118,23830,4002
2,350,57079,119041,119720,107860,29946,4002
2,350,57689,119041,119720,112326,29946,4002
2,350,58299,119035,119720,104230,29946,4002
2,350,5839,88986,88856,7429,4426,4426
2,350,58909,119725,120412,109166,40146,4002
2,350,59519,119721,120412,117674,40146,4002
2,350,60129,119725,120412,116998,40146,4002
2,350,60739,119725,120412,118354,40146,4002
2,350,6449,90773,91252,8038,4218,4218
2,350,7059,93170,93070,8133,4104,4104
2,350,7669,94431,94906,8458,4034,4034
2,350,8279,95635,96140,9302,4012,4012
2,350,8889,96873,97382,10272,4016,4008
2,350,9499,98145,98632,10550,4042,4010
2,350,959,42364,42182,21401,21370,21370
