WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,10,10,505,505,405,505,505
3,10,11,505,505,405,505,505
3,10,12,405,505,505,505,505
3,10,13,405,505,505,505,505
3,10,14,505,505,405,505,505
3,10,15,504,604,406,406,406
3,10,16,504,604,406,406,406
3,10,17,504,604,406,406,406
3,10,18,604,604,306,406,406
3,10,19,604,604,306,406,406
3,10,20,604,604,306,406,406
3,10,21,604,604,306,406,406
3,10,22,604,604,306,406,406
3,10,23,604,604,306,406,406
3,10,24,703,703,206,307,307
3,10,25,703,703,207,307,307
3,10,26,703,703,207,307,307
3,10,27,703,703,207,307,307
3,10,28,703,703,207,307,307
3,10,29,703,703,207,307,307
3,10,30,703,703,207,307,307
3,10,31,703,703,207,307,307
3,10,32,703,703,207,307,307
3,10,33,703,703,207,307,307
3,10,34,802,802,107,208,208
3,10,35,802,802,107,208,208
3,10,36,802,802,107,208,208
3,10,37,802,802,107,208,208
3,10,38,802,802,107,208,208
3,10,39,802,802,107,208,208
3,10,40,702,802,208,208,208
3,10,41,702,802,208,208,208
3,10,42,702,802,208,208,208
3,10,43,702,802,208,208,208
3,10,44,702,802,208,208,208
3,10,45,801,901,109,109,109
3,10,9,505,505,405,505,505
