WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,200,10149,35397,35732,12720,3372,1844
2,200,10348,35429,35732,12710,3370,1844
2,200,10547,35397,35732,13500,3372,1844
2,200,10746,35397,35732,13850,3372,1844
2,200,10945,35775,36110,13510,3712,1844
2,200,11144,35763,36110,13520,3710,1844
2,200,11343,36153,36490,14492,4136,1844
2,200,11542,36135,36490,15992,4138,1844
2,200,11741,36133,36490,15510,4138,1844
2,200,1194,20585,20792,4182,3526,3526
2,200,11940,36133,36490,17850,4136,1844
2,200,12139,36531,36872,16926,4676,1844
2,200,12338,36507,36872,17786,4672,1844
2,200,12537,36507,36872,17608,4674,1844
2,200,12736,36507,36872,18678,4672,1844
2,200,12935,36894,36872,16965,4672,1844
2,200,13134,36885,37256,18466,5372,1844
2,200,13333,36893,37256,19026,5372,1844
2,200,13532,36893,37256,19050,5372,1844
2,200,13731,36901,37256,20314,5372,1844
2,200,1393,22056,21956,3633,3136,3136
2,200,13930,36883,37256,19898,5372,1844
2,200,14129,36879,37256,19120,5372,1844
2,200,14328,36883,37256,20522,5372,1844
2,200,14527,36901,37256,20846,5372,1844
2,200,14726,36885,37256,22936,5372,1844
2,200,14925,36885,37256,22984,5372,1844
2,200,15124,36885,37256,23330,5372,1844
2,200,15323,37285,37642,23082,6310,1844
2,200,15522,37285,37642,24100,6310,1844
2,200,15721,37267,37642,23896,6310,1844
2,200,1592,22665,22850,3478,2888,2888
2,200,15920,37275,37642,24126,6310,1844
2,200,16119,37285,37642,24414,6310,1844
2,200,16318,37285,37642,24890,6310,1844
2,200,16517,37653,38030,27440,7630,1844
2,200,16716,37661,38030,26800,7630,1844
2,200,16915,37661,38030,30562,7630,1844
2,200,17114,37661,38030,27622,7630,1844
2,200,17313,37647,38030,30294,7630,1844
2,200,17512,37653,38030,30664,7630,1844
2,200,17711,37653,38030,30978,7630,1844
2,200,1791,24175,24380,3380,2500,2500
2,200,17910,38041,38420,27624,9620,1844
2,200,18109,38041,38420,28794,9620,1844
2,200,18308,38041,38420,32258,9620,1844
2,200,18507,38041,38420,33336,9620,1844
2,200,18706,38035,38420,35786,9620,1844
2,200,18905,38035,38420,36142,9620,1844
2,200,19104,38425,38812,35060,12946,1844
2,200,19303,38425,38812,36898,12946,1844
2,200,19502,38425,38812,35434,12946,1844
2,200,19701,38425,38812,38038,12946,1844
2,200,199,6982,6950,13796,14014,6950
2,200,1990,25109,25322,3272,2310,2310
2,200,19900,39205,39602,39602,39602,1844
2,200,2189,25747,25960,3278,2200,2200
2,200,2388,26675,26932,3572,2058,2058
2,200,2587,27319,27590,3268,1976,1976
2,200,2786,27979,28256,3528,1912,1912
2,200,2985,28309,28592,3596,1892,1892
2,200,3184,28659,28930,4052,1872,1872
2,200,3383,29678,29612,3737,1846,1846
2,200,3582,29689,29956,4340,1846,1846
2,200,3781,30382,30302,4729,1848,1846
2,200,398,11660,11560,8753,8802,8802
2,200,3980,30383,30650,4558,1854,1844
2,200,4179,30715,31000,4562,1872,1846
2,200,4378,31109,31352,4516,1898,1846
2,200,4577,31408,31352,4837,1896,1846
2,200,4776,31745,32062,4854,1972,1844
2,200,4975,31763,32062,5694,1974,1846
2,200,5174,32466,32420,5431,2024,1844
2,200,5373,32139,32420,5710,2022,1846
2,200,5572,32473,32780,5654,2090,1844
2,200,5771,32844,32780,5927,2090,1844
2,200,597,14586,14482,6673,6602,6602
2,200,5970,33184,33142,6459,2170,1844
2,200,6169,33188,33142,6897,2170,1844
2,200,6368,33552,33506,7213,2262,1844
2,200,6567,33557,33872,6762,2376,1844
2,200,6766,33557,33872,7034,2376,1844
2,200,6965,33911,34240,9034,2510,1844
2,200,7164,33963,34240,8884,2510,1844
2,200,7363,34293,34610,9026,2674,1844
2,200,7562,34678,34610,9109,2670,1844
2,200,7761,34678,34610,9403,2670,1844
2,200,796,16830,16714,5513,5296,5296
2,200,7960,34659,34982,10378,2866,1844
2,200,8159,34639,34982,10000,2862,1844
2,200,8358,34655,34982,9574,2862,1844
2,200,8557,34683,34982,9672,2862,1844
2,200,8756,35055,35356,10714,3092,1844
2,200,8955,35001,35356,11262,3092,1844
2,200,9154,35031,35356,11402,3092,1844
2,200,9353,35035,35356,11098,3092,1844
2,200,9552,35043,35356,11538,3092,1844
2,200,9751,35393,35732,12668,3370,1844
2,200,995,18939,19106,4568,4168,4168
2,200,9950,35397,35732,12368,3372,1844
