WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,500,100259,305002,305692,166443,36085,17071
1,500,101506,305002,305692,167111,36085,17071
1,500,102753,305002,305692,169043,36085,17071
1,500,104000,305711,306411,174481,41749,17071
1,500,10475,265208,265756,35988,29150,29150
1,500,105247,305721,306411,180109,41749,17071
1,500,106494,305711,306411,195965,41749,17071
1,500,107741,305721,306411,187573,41749,17071
1,500,108988,306422,307130,201605,49809,17071
1,500,110235,306430,307130,189563,49809,17071
1,500,111482,306430,307130,201043,49809,17071
1,500,112729,306430,307130,205895,49809,17071
1,500,113976,306430,307130,200727,49809,17071
1,500,115223,307141,307850,203862,62058,17071
1,500,116470,307141,307850,216812,62058,17071
1,500,11722,267317,267878,33814,27810,27810
1,500,117717,307141,307850,222032,62058,17071
1,500,118964,307141,307850,222034,62058,17071
1,500,120211,307141,307850,228444,62058,17071
1,500,121458,307135,307850,234954,62058,17071
1,500,122705,307855,308569,239514,82666,17071
1,500,123952,307855,308569,244374,82666,17071
1,500,12969,270867,271419,32619,25657,25657
1,500,14216,273665,274256,32309,24023,24023
1,500,15463,275123,275676,32374,23230,23230
1,500,16710,277910,278518,32134,21742,21742
1,500,1746,179664,180051,99038,98412,98412
1,500,17957,280044,280652,33388,20704,20704
1,500,19204,280791,281364,32432,20372,20372
1,500,20451,282881,283501,34284,19452,19452
1,500,21698,284350,284926,35218,18890,18890
1,500,22945,285055,285639,34848,18630,18630
1,500,24192,286464,287066,37861,18153,18153
1,500,25439,287143,287780,36690,17942,17942
1,500,26686,288569,289208,35907,17573,17573
1,500,27933,288591,289208,39357,17573,17573
1,500,29180,289997,290637,38252,17290,17290
1,500,2993,211639,212039,71420,70152,70152
1,500,30427,290734,291352,40065,17191,17191
1,500,31674,291427,292067,43575,17117,17117
1,500,32921,292128,292782,41892,17076,17076
1,500,34168,293587,293497,44443,17071,17071
1,500,35415,292853,293497,47303,17071,17071
1,500,36662,293586,294213,46378,17108,17071
1,500,37909,294298,294929,46244,17190,17071
1,500,39156,295006,295645,47042,17324,17073
1,500,40403,294990,295645,53726,17322,17073
1,500,41650,295038,295645,47904,17324,17073
1,500,4240,228129,228620,58303,56457,56457
1,500,42897,295808,296361,52871,17513,17071
1,500,44144,296414,297078,56431,17775,17071
1,500,45391,296414,297078,59431,17775,17071
1,500,46638,297133,297794,59894,18112,17071
1,500,47885,297855,298511,58345,18543,17071
1,500,49132,297845,298511,67317,18543,17073
1,500,499,105993,105919,171410,172003,105919
1,500,50379,297865,298511,63051,18543,17073
1,500,51626,297847,298511,63861,18543,17073
1,500,52873,298560,299228,70368,19080,17071
1,500,54120,299259,299946,66999,19747,17071
1,500,5487,240695,241155,49040,46610,46610
1,500,55367,299311,299946,74061,19747,17071
1,500,56614,299311,299946,75281,19747,17071
1,500,57861,299979,300663,77542,20568,17071
1,500,59108,300023,300663,76324,20568,17071
1,500,60355,300704,301381,86525,21581,17071
1,500,61602,300738,301381,86023,21581,17071
1,500,62849,300718,301381,75433,21581,17071
1,500,64096,300712,301381,87897,21581,17071
1,500,65343,301400,302099,86009,22829,17071
1,500,66590,301418,302099,92071,22829,17071
1,500,6734,247586,248154,45368,41366,41366
1,500,67837,301408,302099,84665,22829,17071
1,500,69084,301430,302099,102335,22829,17071
1,500,70331,301408,302099,96675,22829,17071
1,500,71578,302146,302817,97972,24378,17071
1,500,72825,302124,302817,102964,24378,17071
1,500,74072,302140,302817,112326,24378,17071
1,500,75319,302136,302817,116800,24378,17071
1,500,76566,302846,303535,106954,26312,17071
1,500,77813,302888,303535,110138,26312,17071
1,500,79060,302874,303535,109138,26314,17071
1,500,7981,254680,255177,40608,36290,36290
1,500,80307,302844,303535,118296,26314,17071
1,500,81554,302888,303535,114426,26312,17071
1,500,82801,303570,304254,125332,28766,17071
1,500,84048,303560,304254,118636,28766,17071
1,500,85295,303566,304254,131004,28766,17071
1,500,86542,304279,304973,141323,31923,17071
1,500,87789,304267,304973,136117,31923,17071
1,500,89036,304277,304973,140797,31923,17071
1,500,90283,304283,304973,140141,31923,17071
1,500,91530,304271,304973,139383,31923,17071
1,500,9228,260958,260812,36733,32393,32393
1,500,92777,304283,304973,150669,31923,17071
1,500,94024,304283,304973,151221,31923,17071
1,500,95271,304283,304973,154769,31923,17071
1,500,96518,305002,305692,153449,36085,17071
1,500,97765,305002,305692,158935,36085,17071
1,500,99012,304992,305692,161013,36085,17071
