WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,10,10,811,809,561,809,809
1,10,11,811,809,561,809,809
1,10,12,561,809,811,809,809
1,10,13,561,809,811,809,809
1,10,14,811,809,563,809,809
1,10,15,814,1079,566,564,564
1,10,16,814,1079,568,564,564
1,10,17,814,1079,568,564,564
1,10,18,1081,1079,349,564,564
1,10,19,1081,1079,343,564,564
1,10,20,1081,1079,343,564,564
1,10,21,1081,1079,349,564,564
1,10,22,1081,1079,349,564,564
1,10,23,1081,1079,349,564,564
1,10,24,1365,1365,158,346,346
1,10,25,1367,1365,167,346,346
1,10,26,1365,1365,175,346,346
1,10,27,1367,1365,167,346,346
1,10,28,1365,1365,167,346,346
1,10,29,1365,1365,175,346,346
1,10,30,1367,1365,175,346,346
1,10,31,1367,1365,187,346,346
1,10,32,1371,1365,187,346,346
1,10,33,1371,1365,187,346,346
1,10,34,1665,1665,49,170,170
1,10,35,1667,1665,49,172,172
1,10,36,1667,1665,49,172,172
1,10,37,1667,1665,49,172,172
1,10,38,1667,1665,49,172,172
1,10,39,1667,1665,49,172,172
1,10,40,1366,1665,188,172,172
1,10,41,1366,1665,202,170,170
1,10,42,1366,1665,202,170,170
1,10,43,1366,1665,202,170,170
1,10,44,1366,1665,202,170,170
1,10,45,1664,1978,81,81,81
1,10,9,811,811,561,811,811
