WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,50,1009,4504,4604,446,446,446
3,50,1021,4504,4604,446,446,446
3,50,1033,4504,4604,446,446,446
3,50,1045,4603,4703,347,347,347
3,50,1057,4603,4703,347,347,347
3,50,1069,4603,4703,347,347,347
3,50,1081,4603,4703,347,347,347
3,50,109,2623,2723,2327,2327,2327
3,50,1093,4603,4703,347,347,347
3,50,1105,4603,4703,347,347,347
3,50,1117,4603,4703,347,347,347
3,50,1129,4603,4703,347,347,347
3,50,1141,4603,4703,347,347,347
3,50,1153,4603,4703,347,347,347
3,50,1165,4603,4703,347,347,347
3,50,1177,4603,4703,347,347,347
3,50,1189,4603,4703,347,347,347
3,50,1201,4702,4802,248,248,248
3,50,121,2623,2723,2327,2327,2327
3,50,1213,4702,4802,248,248,248
3,50,1225,4801,4901,149,149,149
3,50,1237,4801,4901,149,149,149
3,50,133,2821,2921,2129,2129,2129
3,50,145,2920,3020,2030,2030,2030
3,50,157,3119,3119,1831,1931,1931
3,50,169,3019,3119,1931,1931,1931
3,50,181,3118,3218,1832,1832,1832
3,50,193,3317,3317,1632,1733,1733
3,50,205,3416,3416,1533,1634,1634
3,50,217,3415,3515,1535,1535,1535
3,50,229,3415,3515,1535,1535,1535
3,50,241,3614,3614,1336,1436,1436
3,50,253,3613,3713,1337,1337,1337
3,50,265,3613,3713,1337,1337,1337
3,50,277,3613,3713,1337,1337,1337
3,50,289,3613,3713,1337,1337,1337
3,50,301,3613,3713,1337,1337,1337
3,50,313,3812,3812,1138,1238,1238
3,50,325,3812,3812,1138,1238,1238
3,50,337,3812,3812,1138,1238,1238
3,50,349,3812,3812,1138,1238,1238
3,50,361,3811,3911,1139,1139,1139
3,50,373,3811,3911,1139,1139,1139
3,50,385,3811,3911,1139,1139,1139
3,50,397,4010,4010,940,1040,1040
3,50,409,4010,4010,940,1040,1040
3,50,421,4010,4010,940,1040,1040
3,50,433,4010,4010,940,1040,1040
3,50,445,4010,4010,940,1040,1040
3,50,457,4109,4109,841,941,941
3,50,469,4109,4109,840,941,941
3,50,481,4109,4109,841,941,941
3,50,49,2228,2228,2722,2822,2228
3,50,493,4009,4109,941,941,941
3,50,505,4009,4109,941,941,941
3,50,517,4009,4109,941,941,941
3,50,529,4009,4109,941,941,941
3,50,541,4108,4208,842,842,842
3,50,553,4108,4208,842,842,842
3,50,565,4108,4208,842,842,842
3,50,577,4108,4208,842,842,842
3,50,589,4108,4208,842,842,842
3,50,601,4108,4208,842,842,842
3,50,61,2327,2327,2623,2723,2327
3,50,613,4108,4208,842,842,842
3,50,625,4108,4208,842,842,842
3,50,637,4207,4307,743,743,743
3,50,649,4207,4307,743,743,743
3,50,661,4207,4307,743,743,743
3,50,673,4207,4307,743,743,743
3,50,685,4207,4307,743,743,743
3,50,697,4207,4307,743,743,743
3,50,709,4207,4307,743,743,743
3,50,721,4207,4307,743,743,743
3,50,73,2525,2525,2424,2525,2525
3,50,733,4207,4307,743,743,743
3,50,745,4207,4307,743,743,743
3,50,757,4207,4307,743,743,743
3,50,769,4306,4406,644,644,644
3,50,781,4306,4406,644,644,644
3,50,793,4306,4406,644,644,644
3,50,805,4306,4406,644,644,644
3,50,817,4306,4406,644,644,644
3,50,829,4306,4406,644,644,644
3,50,841,4306,4406,644,644,644
3,50,85,2524,2624,2426,2426,2426
3,50,853,4306,4406,644,644,644
3,50,865,4306,4406,644,644,644
3,50,877,4405,4505,545,545,545
3,50,889,4405,4505,545,545,545
3,50,901,4405,4505,545,545,545
3,50,913,4405,4505,545,545,545
3,50,925,4405,4505,545,545,545
3,50,937,4405,4505,545,545,545
3,50,949,4504,4604,446,446,446
3,50,961,4504,4604,446,446,446
3,50,97,2624,2624,2325,2426,2426
3,50,973,4504,4604,446,446,446
3,50,985,4504,4604,446,446,446
3,50,997,4504,4604,446,446,446
