WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,200,10149,18811,18911,1289,1289,1289
3,200,10348,18811,18911,1289,1289,1289
3,200,10547,18811,18911,1289,1289,1289
3,200,10746,18811,18911,1289,1289,1289
3,200,10945,18910,19010,1190,1190,1190
3,200,11144,18910,19010,1190,1190,1190
3,200,11343,19009,19109,1091,1091,1091
3,200,11542,19009,19109,1091,1091,1091
3,200,11741,19009,19109,1091,1091,1091
3,200,1194,14356,14456,5744,5744,5744
3,200,11940,19009,19109,1091,1091,1091
3,200,12139,19108,19208,992,992,992
3,200,12338,19108,19208,992,992,992
3,200,12537,19108,19208,992,992,992
3,200,12736,19108,19208,992,992,992
3,200,12935,19208,19208,892,992,992
3,200,13134,19207,19307,893,893,893
3,200,13333,19207,19307,893,893,893
3,200,13532,19207,19307,893,893,893
3,200,13731,19207,19307,893,893,893
3,200,1393,14852,14852,5248,5348,5348
3,200,13930,19207,19307,893,893,893
3,200,14129,19207,19307,893,893,893
3,200,14328,19207,19307,893,893,893
3,200,14527,19207,19307,893,893,893
3,200,14726,19207,19307,893,893,893
3,200,14925,19207,19307,893,893,893
3,200,15124,19207,19307,893,893,893
3,200,15323,19306,19406,794,794,794
3,200,15522,19306,19406,794,794,794
3,200,15721,19306,19406,794,794,794
3,200,1592,15049,15149,5051,5051,5051
3,200,15920,19306,19406,794,794,794
3,200,16119,19306,19406,794,794,794
3,200,16318,19306,19406,794,794,794
3,200,16517,19405,19505,695,695,695
3,200,16716,19405,19505,695,695,695
3,200,16915,19405,19505,695,695,695
3,200,17114,19405,19505,695,695,695
3,200,17313,19405,19505,695,695,695
3,200,17512,19405,19505,695,695,695
3,200,17711,19405,19505,695,695,695
3,200,1791,15544,15644,4556,4556,4556
3,200,17910,19504,19604,596,596,596
3,200,18109,19504,19604,596,596,596
3,200,18308,19504,19604,596,596,596
3,200,18507,19504,19604,596,596,596
3,200,18706,19504,19604,596,596,596
3,200,18905,19504,19604,596,596,596
3,200,19104,19603,19703,497,497,497
3,200,19303,19603,19703,497,497,497
3,200,19502,19603,19703,497,497,497
3,200,19701,19603,19703,497,497,497
3,200,199,8318,8318,11781,11882,8318
3,200,1990,15841,15941,4259,4259,4259
3,200,19900,19801,19901,299,299,299
3,200,2189,16039,16139,4061,4061,4061
3,200,2388,16336,16436,3764,3764,3764
3,200,2587,16534,16634,3566,3566,3566
3,200,2786,16732,16832,3368,3368,3368
3,200,2985,16831,16931,3269,3269,3269
3,200,3184,16930,17030,3170,3170,3170
3,200,3383,17228,17228,2872,2972,2972
3,200,3582,17227,17327,2873,2873,2873
3,200,3781,17426,17426,2674,2774,2774
3,200,398,10793,10793,9307,9407,9407
3,200,3980,17425,17525,2675,2675,2675
3,200,4179,17524,17624,2576,2576,2576
3,200,4378,17623,17723,2477,2477,2477
3,200,4577,17723,17723,2377,2477,2477
3,200,4776,17821,17921,2279,2279,2279
3,200,4975,17821,17921,2279,2279,2279
3,200,5174,18020,18020,2080,2180,2180
3,200,5373,17920,18020,2180,2180,2180
3,200,5572,18019,18119,2081,2081,2081
3,200,5771,18119,18119,1981,2081,2081
3,200,597,12080,12080,8020,8120,8120
3,200,5970,18218,18218,1882,1982,1982
3,200,6169,18218,18218,1882,1982,1982
3,200,6368,18317,18317,1783,1883,1883
3,200,6567,18316,18416,1784,1784,1784
3,200,6766,18316,18416,1784,1784,1784
3,200,6965,18415,18515,1685,1685,1685
3,200,7164,18415,18515,1685,1685,1685
3,200,7363,18514,18614,1586,1586,1586
3,200,7562,18614,18614,1486,1586,1586
3,200,7761,18614,18614,1486,1586,1586
3,200,796,12971,12971,7129,7229,7229
3,200,7960,18613,18713,1487,1487,1487
3,200,8159,18613,18713,1487,1487,1487
3,200,8358,18613,18713,1487,1487,1487
3,200,8557,18613,18713,1487,1487,1487
3,200,8756,18712,18812,1388,1388,1388
3,200,8955,18712,18812,1388,1388,1388
3,200,9154,18712,18812,1388,1388,1388
3,200,9353,18712,18812,1388,1388,1388
3,200,9552,18712,18812,1388,1388,1388
3,200,9751,18811,18911,1289,1289,1289
3,200,995,13762,13862,6338,6338,6338
3,200,9950,18811,18911,1289,1289,1289
