WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,100,1030,34582,35076,6797,6317,6317
1,100,1079,35637,36153,6132,5580,5580
1,100,1128,35665,36153,6058,5582,5582
1,100,1177,35651,36153,6172,5582,5582
1,100,1226,36180,36693,5849,5229,5229
1,100,1275,36190,36693,5893,5227,5227
1,100,1324,36206,36693,6207,5225,5225
1,100,1373,36722,37234,5880,4882,4882
1,100,1422,36722,37234,5918,4882,4882
1,100,1471,36722,37234,5976,4882,4882
1,100,148,17242,17216,21625,22097,17216
1,100,1520,37259,37777,5523,4547,4547
1,100,1569,37269,37777,5593,4547,4547
1,100,1618,37822,38321,5350,4226,4226
1,100,1667,37814,38321,5452,4226,4226
1,100,1716,38348,38866,5295,3919,3919
1,100,1765,38336,38866,5467,3919,3919
1,100,1814,38348,38866,5329,3919,3919
1,100,1863,39432,39412,4635,3629,3629
1,100,1912,38885,39412,5237,3629,3629
1,100,1961,39425,39959,4836,3358,3358
1,100,197,21133,21103,17731,18174,18174
1,100,2010,39431,39959,5072,3360,3360
1,100,2059,39427,39959,4926,3360,3360
1,100,2108,39982,40508,4958,3116,3116
1,100,2157,39980,40508,5022,3112,3112
1,100,2206,39970,40508,4902,3114,3114
1,100,2255,39972,40508,4686,3114,3114
1,100,2304,40523,41057,5024,2898,2898
1,100,2353,40523,41057,5156,2898,2898
1,100,2402,40525,41057,4626,2900,2900
1,100,2451,40525,41057,4812,2898,2898
1,100,246,23129,23598,15884,15794,15794
1,100,2500,40521,41057,4754,2900,2900
1,100,2549,40529,41057,5418,2898,2898
1,100,2598,40521,41057,4804,2898,2898
1,100,2647,41062,41608,4603,2725,2725
1,100,2696,41064,41608,4609,2723,2723
1,100,2745,41622,41608,4436,2723,2723
1,100,2794,41621,42160,4581,2599,2599
1,100,2843,41637,42160,4799,2599,2599
1,100,2892,41619,42160,5539,2599,2599
1,100,2941,41627,42160,4939,2599,2599
1,100,295,23155,23600,15886,15796,15796
1,100,2990,41621,42160,5131,2599,2599
1,100,3039,41619,42160,5755,2599,2599
1,100,3088,41613,42160,5281,2599,2599
1,100,3137,41619,42160,5795,2599,2599
1,100,3186,41637,42160,6731,2599,2599
1,100,3235,41637,42160,6731,2599,2599
1,100,3284,41637,42160,6997,2599,2599
1,100,3333,41637,42160,7135,2599,2599
1,100,3382,41637,42160,7135,2599,2599
1,100,3431,41637,42160,7167,2599,2599
1,100,344,25186,25626,14072,13936,13936
1,100,3480,41637,42160,7181,2599,2599
1,100,3529,41637,42160,7307,2599,2599
1,100,3578,42179,42712,7465,2549,2549
1,100,3627,42179,42712,7621,2549,2549
1,100,3676,42179,42712,7621,2549,2549
1,100,3725,42717,43266,6329,2611,2549
1,100,3774,42731,43266,6671,2609,2549
1,100,3823,42731,43266,6701,2609,2549
1,100,3872,42731,43266,6553,2609,2549
1,100,3921,42731,43266,6671,2609,2549
1,100,393,26709,27170,12696,12574,12574
1,100,3970,42731,43266,6793,2609,2549
1,100,4019,42719,43266,6223,2611,2549
1,100,4068,43271,43821,6996,2858,2549
1,100,4117,43827,43821,6748,2858,2549
1,100,4166,43827,43821,6799,2858,2549
1,100,4215,43827,43821,6926,2858,2549
1,100,4264,43277,43821,7568,2858,2549
1,100,4313,43271,43821,7732,2858,2549
1,100,4362,43271,43821,7732,2858,2549
1,100,4411,43277,43821,7540,2858,2549
1,100,442,28243,28724,11390,11242,11242
1,100,4460,43277,43821,8050,2858,2549
1,100,4509,43277,43821,8204,2858,2549
1,100,4558,43277,43821,8524,2858,2549
1,100,4607,43826,44377,8478,3466,2549
1,100,4656,43826,44377,8988,3466,2549
1,100,4705,43826,44377,8810,3466,2549
1,100,4754,43826,44377,9546,3466,2549
1,100,4803,43826,44377,8994,3466,2549
1,100,4852,43826,44377,9174,3466,2549
1,100,4901,44378,44934,9358,4940,2549
1,100,491,29287,29769,10641,10377,10377
1,100,4950,45492,45492,24626,9801,2549
1,100,540,29814,30294,10124,9946,9946
1,100,589,30329,30819,9722,9522,9522
1,100,638,31376,31876,9059,8695,8695
1,100,687,31394,31876,8959,8689,8689
1,100,736,32429,32937,8177,7881,7881
1,100,785,32427,32937,8211,7877,7877
1,100,834,32964,33470,7872,7474,7474
1,100,883,33499,34004,7540,7082,7082
1,100,932,34568,35076,6785,6317,6317
1,100,981,34572,35076,7017,6315,6315
1,100,99,14425,14877,24626,24614,14877
