WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
2,10,10,32,30,23,30,30
2,10,11,32,30,23,30,30
2,10,12,23,30,32,30,30
2,10,13,23,30,32,30,30
2,10,14,32,30,25,30,30
2,10,15,35,40,28,26,26
2,10,16,35,40,30,26,26
2,10,17,35,40,30,26,26
2,10,18,42,40,29,26,26
2,10,19,42,40,23,26,26
2,10,20,42,40,23,26,26
2,10,21,42,40,29,26,26
2,10,22,42,40,29,26,26
2,10,23,42,40,29,26,26
2,10,24,52,52,24,26,26
2,10,25,54,52,33,26,26
2,10,26,52,52,41,26,26
2,10,27,54,52,33,26,26
2,10,28,52,52,33,26,26
2,10,29,52,52,41,26,26
2,10,30,54,52,41,26,26
2,10,31,54,52,53,26,26
2,10,32,58,52,53,26,26
2,10,33,58,52,53,26,26
2,10,34,66,66,50,36,26
2,10,35,68,66,50,38,26
2,10,36,68,66,50,38,26
2,10,37,68,66,50,38,26
2,10,38,68,66,50,38,26
2,10,39,68,66,50,38,26
2,10,40,53,66,54,38,26
2,10,41,53,66,68,36,26
2,10,42,53,66,68,36,26
2,10,43,53,66,68,36,26
2,10,44,53,66,68,36,26
2,10,45,65,82,82,82,26
2,10,9,32,32,23,32,32
