WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
1,1000,100899,661820,662409,116478,38720,37405
1,1000,105894,664087,663981,120996,39443,37404
1,1000,10989,536231,536504,113241,107997,107997
1,1000,110889,664096,664767,128651,39881,37404
1,1000,115884,664922,665554,137616,40378,37404
1,1000,120879,666436,667127,141981,41573,37404
1,1000,125874,667248,667914,146126,42284,37404
1,1000,130869,667222,667914,156644,42284,37404
1,1000,135864,668818,669488,166245,43965,37404
1,1000,140859,669565,670275,164433,44965,37404
1,1000,145854,669599,670275,168309,44965,37404
1,1000,150849,670356,671062,168522,46076,37404
1,1000,155844,671163,671849,189955,47323,37404
1,1000,15984,570019,570401,90725,82261,82261
1,1000,160839,671956,672637,188682,48718,37404
1,1000,165834,671968,672637,194278,48718,37404
1,1000,170829,672724,673424,206052,50282,37404
1,1000,175824,672736,673424,197184,50282,37404
1,1000,180819,673499,674212,226362,52038,37404
1,1000,185814,674341,675000,235477,54013,37404
1,1000,190809,674279,675000,220697,54011,37404
1,1000,195804,675057,675787,237739,56249,37404
1,1000,200799,675081,675787,242707,56249,37404
1,1000,205794,675860,676575,255988,58780,37404
1,1000,20979,588648,588988,81371,69139,69139
1,1000,210789,675077,675787,275911,56249,37404
1,1000,215784,676656,677363,273391,61659,37404
1,1000,220779,676660,677363,276371,61659,37404
1,1000,225774,677414,678151,289556,64956,37404
1,1000,230769,677428,678151,314364,64956,37404
1,1000,235764,677418,678151,288008,64956,37404
1,1000,240759,678212,678940,293697,68747,37404
1,1000,245754,679000,678940,332899,68747,37404
1,1000,250749,678210,678940,330217,68747,37404
1,1000,255744,678991,679728,331784,73140,37404
1,1000,25974,604079,604528,74139,58937,58937
1,1000,260739,679009,679728,345982,73140,37404
1,1000,265734,679003,679728,358048,73140,37404
1,1000,270729,679779,680516,371353,78271,37404
1,1000,275724,679789,680516,374861,78271,37404
1,1000,280719,680577,681305,372863,84329,37404
1,1000,285714,679789,680516,421927,78273,37404
1,1000,290709,680589,681305,401643,84329,37404
1,1000,295704,680583,681305,394037,84329,37404
1,1000,300699,681346,682094,436260,91558,37404
1,1000,305694,681346,682094,413616,91560,37404
1,1000,30969,615008,615433,71843,52355,52355
1,1000,310689,681342,682094,462262,91558,37404
1,1000,315684,681348,682094,457518,91558,37404
1,1000,320679,681330,682094,470302,91558,37404
1,1000,325674,681366,682094,498006,91558,37404
1,1000,330669,682137,682882,479150,100312,37404
1,1000,335664,682121,682882,494980,100312,37404
1,1000,340659,682149,682882,524388,100314,37404
1,1000,345654,682165,682882,519108,100312,37404
1,1000,350649,682165,682882,530180,100312,37404
1,1000,355644,682913,683671,539928,111098,37404
1,1000,35964,622739,623235,73273,48041,48041
1,1000,360639,682953,683671,569388,111098,37404
1,1000,365634,682937,683671,551520,111098,37404
1,1000,370629,682913,683671,551432,111098,37404
1,1000,375624,683702,684460,585503,124673,37404
1,1000,380619,683700,684460,609749,124673,37404
1,1000,385614,683712,684460,602037,124671,37404
1,1000,390609,683696,684460,623487,124671,37404
1,1000,395604,683702,684460,636293,124671,37404
1,1000,400599,684489,685249,674477,142227,37404
1,1000,405594,684501,685249,689593,142227,37404
1,1000,40959,628217,628703,72239,45275,45275
1,1000,410589,684501,685249,706943,142227,37404
1,1000,415584,684489,685249,706349,142227,37404
1,1000,420579,684501,685249,695333,142227,37404
1,1000,425574,685262,686038,692029,165749,37404
1,1000,430569,685268,686038,739637,165749,37404
1,1000,435564,685268,686038,751871,165749,37404
1,1000,440559,685278,686038,797149,165749,37404
1,1000,445554,685262,686038,815849,165749,37404
1,1000,450549,685278,686038,807409,165749,37404
1,1000,455544,685260,686038,831383,165749,37404
1,1000,45954,634414,634959,72206,42440,42440
1,1000,460539,686049,686827,836703,198809,37404
1,1000,465534,686045,686827,876419,198809,37404
1,1000,470529,686057,686827,890585,198809,37404
1,1000,475524,686049,686827,906973,198809,37404
1,1000,480519,686838,687617,914260,248558,37404
1,1000,485514,686838,687617,936484,248558,37404
1,1000,490509,687622,688406,941958,331666,37404
1,1000,495504,687622,688406,972646,331666,37404
1,1000,50949,639096,639656,76062,40598,40598
1,1000,55944,642172,642789,78485,39547,39547
1,1000,5994,469206,469447,166341,163629,163629
1,1000,60939,645323,645923,80566,38660,38660
1,1000,65934,647704,648276,84230,38126,38126
1,1000,70929,651600,652198,90566,37538,37538
1,1000,75924,653913,654553,89613,37405,37405
1,1000,80919,654726,655338,99406,37404,37404
1,1000,85914,657025,657694,102302,37558,37404
1,1000,90909,658616,659265,107317,37803,37404
1,1000,95904,660238,660837,119498,38184,37404
1,1000,999,246547,246381,377847,378349,246381
