WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,500,100259,49207,49307,1193,1193,1193
3,500,101506,49207,49307,1193,1193,1193
3,500,102753,49207,49307,1193,1193,1193
3,500,104000,49306,49406,1094,1094,1094
3,500,10475,43663,43763,6737,6737,6737
3,500,105247,49306,49406,1094,1094,1094
3,500,106494,49306,49406,1094,1094,1094
3,500,107741,49306,49406,1094,1094,1094
3,500,108988,49405,49505,995,995,995
3,500,110235,49405,49505,995,995,995
3,500,111482,49405,49505,995,995,995
3,500,112729,49405,49505,995,995,995
3,500,113976,49405,49505,995,995,995
3,500,115223,49504,49604,896,896,896
3,500,116470,49504,49604,896,896,896
3,500,11722,43960,44060,6440,6440,6440
3,500,117717,49504,49604,896,896,896
3,500,118964,49504,49604,896,896,896
3,500,120211,49504,49604,896,896,896
3,500,121458,49504,49604,896,896,896
3,500,122705,49603,49703,797,797,797
3,500,123952,49603,49703,797,797,797
3,500,12969,44455,44555,5945,5945,5945
3,500,14216,44851,44951,5549,5549,5549
3,500,15463,45049,45149,5351,5351,5351
3,500,16710,45445,45545,4955,4955,4955
3,500,1746,31387,31487,19013,19013,19013
3,500,17957,45742,45842,4658,4658,4658
3,500,19204,45841,45941,4559,4559,4559
3,500,20451,46138,46238,4262,4262,4262
3,500,21698,46336,46436,4064,4064,4064
3,500,22945,46435,46535,3965,3965,3965
3,500,24192,46633,46733,3767,3767,3767
3,500,25439,46732,46832,3668,3668,3668
3,500,26686,46930,47030,3470,3470,3470
3,500,27933,46930,47030,3470,3470,3470
3,500,29180,47128,47228,3272,3272,3272
3,500,2993,36040,36140,14360,14360,14360
3,500,30427,47227,47327,3173,3173,3173
3,500,31674,47326,47426,3074,3074,3074
3,500,32921,47425,47525,2975,2975,2975
3,500,34168,47624,47624,2776,2876,2876
3,500,35415,47524,47624,2876,2876,2876
3,500,36662,47623,47723,2777,2777,2777
3,500,37909,47722,47822,2678,2678,2678
3,500,39156,47821,47921,2579,2579,2579
3,500,40403,47821,47921,2579,2579,2579
3,500,41650,47821,47921,2579,2579,2579
3,500,4240,38416,38516,11984,11984,11984
3,500,42897,47920,48020,2480,2480,2480
3,500,44144,48019,48119,2381,2381,2381
3,500,45391,48019,48119,2381,2381,2381
3,500,46638,48118,48218,2282,2282,2282
3,500,47885,48217,48317,2183,2183,2183
3,500,49132,48217,48317,2183,2183,2183
3,500,499,20201,20201,30199,30299,20201
3,500,50379,48217,48317,2183,2183,2183
3,500,51626,48217,48317,2183,2183,2183
3,500,52873,48316,48416,2084,2084,2084
3,500,54120,48415,48515,1985,1985,1985
3,500,5487,40198,40298,10202,10202,10202
3,500,55367,48415,48515,1985,1985,1985
3,500,56614,48415,48515,1985,1985,1985
3,500,57861,48514,48614,1886,1886,1886
3,500,59108,48514,48614,1886,1886,1886
3,500,60355,48613,48713,1787,1787,1787
3,500,61602,48613,48713,1787,1787,1787
3,500,62849,48613,48713,1787,1787,1787
3,500,64096,48613,48713,1787,1787,1787
3,500,65343,48712,48812,1688,1688,1688
3,500,66590,48712,48812,1688,1688,1688
3,500,6734,41188,41288,9212,9212,9212
3,500,67837,48712,48812,1688,1688,1688
3,500,69084,48712,48812,1688,1688,1688
3,500,70331,48712,48812,1688,1688,1688
3,500,71578,48811,48911,1589,1589,1589
3,500,72825,48811,48911,1589,1589,1589
3,500,74072,48811,48911,1589,1589,1589
3,500,75319,48811,48911,1589,1589,1589
3,500,76566,48910,49010,1490,1490,1490
3,500,77813,48910,49010,1490,1490,1490
3,500,79060,48910,49010,1490,1490,1490
3,500,7981,42178,42278,8222,8222,8222
3,500,80307,48910,49010,1490,1490,1490
3,500,81554,48910,49010,1490,1490,1490
3,500,82801,49009,49109,1391,1391,1391
3,500,84048,49009,49109,1391,1391,1391
3,500,85295,49009,49109,1391,1391,1391
3,500,86542,49108,49208,1292,1292,1292
3,500,87789,49108,49208,1292,1292,1292
3,500,89036,49108,49208,1292,1292,1292
3,500,90283,49108,49208,1292,1292,1292
3,500,91530,49108,49208,1292,1292,1292
3,500,9228,43070,43070,7330,7430,7430
3,500,92777,49108,49208,1292,1292,1292
3,500,94024,49108,49208,1292,1292,1292
3,500,95271,49108,49208,1292,1292,1292
3,500,96518,49207,49307,1193,1193,1193
3,500,97765,49207,49307,1193,1193,1193
3,500,99012,49207,49307,1193,1193,1193
