WeightFunctionType,Nodes,Edges,GR VC,RR VC,GR IS,RR IS,RR+
3,750,101837,72920,73020,2730,2730,2730
3,750,104645,72920,73020,2730,2730,2730
3,750,107453,73019,73119,2631,2631,2631
3,750,110261,73019,73119,2631,2631,2631
3,750,113069,73118,73218,2532,2532,2532
3,750,115877,73118,73218,2532,2532,2532
3,750,118685,73217,73317,2433,2433,2433
3,750,11981,63416,63516,12234,12234,12234
3,750,121493,73217,73317,2433,2433,2433
3,750,124301,73316,73416,2334,2334,2334
3,750,127109,73316,73416,2334,2334,2334
3,750,129917,73316,73416,2334,2334,2334
3,750,132725,73415,73515,2235,2235,2235
3,750,135533,73415,73515,2235,2235,2235
3,750,138341,73514,73614,2136,2136,2136
3,750,141149,73514,73614,2136,2136,2136
3,750,143957,73514,73614,2136,2136,2136
3,750,146765,73514,73614,2136,2136,2136
3,750,14789,64901,65001,10749,10749,10749
3,750,149573,73514,73614,2136,2136,2136
3,750,152381,73613,73713,2037,2037,2037
3,750,155189,73712,73812,1938,1938,1938
3,750,157997,73613,73713,2037,2037,2037
3,750,160805,73712,73812,1938,1938,1938
3,750,163613,73712,73812,1938,1938,1938
3,750,166421,73811,73911,1839,1839,1839
3,750,169229,73811,73911,1839,1839,1839
3,750,172037,73811,73911,1839,1839,1839
3,750,174845,73811,73911,1839,1839,1839
3,750,17597,66089,66189,9561,9561,9561
3,750,177653,73910,74010,1740,1740,1740
3,750,180461,73910,74010,1740,1740,1740
3,750,183269,73910,74010,1740,1740,1740
3,750,186077,73910,74010,1740,1740,1740
3,750,188885,73910,74010,1740,1740,1740
3,750,191693,73910,74010,1740,1740,1740
3,750,194501,74009,74109,1641,1641,1641
3,750,197309,74009,74109,1641,1641,1641
3,750,200117,74009,74109,1641,1641,1641
3,750,202925,74009,74109,1641,1641,1641
3,750,20405,66881,66981,8769,8769,8769
3,750,205733,74009,74109,1641,1641,1641
3,750,208541,74108,74208,1542,1542,1542
3,750,211349,74108,74208,1542,1542,1542
3,750,214157,74108,74208,1542,1542,1542
3,750,216965,74108,74208,1542,1542,1542
3,750,219773,74108,74208,1542,1542,1542
3,750,222581,74108,74208,1542,1542,1542
3,750,225389,74207,74307,1443,1443,1443
3,750,228197,74207,74307,1443,1443,1443
3,750,231005,74207,74307,1443,1443,1443
3,750,23213,67673,67773,7977,7977,7977
3,750,233813,74207,74307,1443,1443,1443
3,750,236621,74207,74307,1443,1443,1443
3,750,239429,74207,74307,1443,1443,1443
3,750,242237,74306,74406,1344,1344,1344
3,750,245045,74306,74406,1344,1344,1344
3,750,247853,74306,74406,1344,1344,1344
3,750,250661,74405,74505,1245,1245,1245
3,750,253469,74405,74505,1245,1245,1245
3,750,256277,74405,74505,1245,1245,1245
3,750,259085,74405,74505,1245,1245,1245
3,750,26021,68267,68367,7383,7383,7383
3,750,261893,74405,74505,1245,1245,1245
3,750,264701,74504,74604,1146,1146,1146
3,750,267509,74504,74604,1146,1146,1146
3,750,270317,74504,74604,1146,1146,1146
3,750,273125,74504,74604,1146,1146,1146
3,750,275933,74603,74703,1047,1047,1047
3,750,278741,74603,74703,1047,1047,1047
3,750,28829,68861,68961,6789,6789,6789
3,750,31637,69257,69357,6393,6393,6393
3,750,34445,69554,69654,6096,6096,6096
3,750,3557,51240,51240,24410,24510,24510
3,750,37253,69950,70050,5700,5700,5700
3,750,40061,70247,70347,5403,5403,5403
3,750,42869,70445,70545,5205,5205,5205
3,750,45677,70742,70842,4908,4908,4908
3,750,48485,70940,71040,4710,4710,4710
3,750,51293,71138,71238,4512,4512,4512
3,750,54101,71336,71436,4314,4314,4314
3,750,56909,71535,71535,4115,4215,4215
3,750,59717,71633,71733,4017,4017,4017
3,750,62525,71732,71832,3918,3918,3918
3,750,6365,57576,57576,18074,18174,18174
3,750,65333,71831,71931,3819,3819,3819
3,750,68141,72029,72129,3621,3621,3621
3,750,70949,72128,72228,3522,3522,3522
3,750,73757,72227,72327,3423,3423,3423
3,750,749,30450,30450,45200,45300,30450
3,750,76565,72227,72327,3423,3423,3423
3,750,79373,72326,72426,3324,3324,3324
3,750,82181,72425,72525,3225,3225,3225
3,750,84989,72524,72624,3126,3126,3126
3,750,87797,72623,72723,3027,3027,3027
3,750,90605,72623,72723,3027,3027,3027
3,750,9173,61140,61140,14510,14610,14610
3,750,93413,72722,72822,2928,2928,2928
3,750,96221,72821,72921,2829,2829,2829
3,750,99029,72920,73020,2730,2730,2730
